"Handle","Title","Body(HTML)","Vendor","Type","Published","SKU","Price","Compare At Price","Barcode","Image Src","Weight Unit","Status"
"amt-70-chevrolet-ss-impala","amt 70 Chevrolet SS IMPALA","<p>Authentic 1/25 Scale Customizing Kit</p>
<p>Features Tube Headers, Tri-Power ""Hilborn"" Fuel Injection, Wide Vinyl Slicks, 454 CU.IN Rat Motor. Build one of three designs.</p>
<!---->","My Store","","true","10","12.89","","","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/save_as_2024-06-13T17_16_04.287Z.png?v=1718298969","oz","active"
"bubble-blaster-with-led-light-110-ml-bubble-solution","Bubble Blaster with LED Light & 110 ml  Bubble Solution","<p><span>Meet our Blueberry Essentials Serum! This serum makes for fresh, flawless skin and protects it from harmful outside influences. Complete your daily skin routine by combining it with our Blueberry Essentials Toner.</span></p>","Bay Shore Hobbies & Toys","","true","10","65.00","","","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/p1_7d69cfd0-32de-43a2-be47-ae5a46ba875e.png?v=1728286013","lb","active"
"rowan-dancing-cactus-toy-best-interactive-singing","Rowan Dancing Cactus Toy - Best  Interactive Singing","","Bay Shore Hobbies & Toys","","true","10","65.00","","","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/p2.png?v=1728286124","lb","active"
"hamleys-foosball-table-indoor-sport-multicolour-6y","Hamleys Foosball Table Indoor Sport  Multicolour 6Y+","","Bay Shore Hobbies & Toys","","true","10","65.00","","","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/p3_6350188b-b6d8-47df-9a59-285c18e1269a.png?v=1728286280","lb","active"
"hamleys-foosball-table-indoor-sport-multicolour-6y-1","Hamleys Foosball Table Indoor Sport  Multicolour 6Y+","","Bay Shore Hobbies & Toys","","true","10","65.00","","","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/p4_1e770b86-9975-444c-8cdd-edbd62a39140.png?v=1728286646","lb","active"
"1-10-grasshopper-2wd-off-road-buggy-rtr","1/10 Grasshopper 2WD Off-Road Buggy RTR","<!-- SKU -->
<div class=""mx-auto mb-1"" style=""max-width:930px"">

<div class=""landing-content"">				
	<style>
		.mediaFeature {padding:2px 0;}
		.safeTech {background:#6f92a5;float:left;padding:20px 0;font-size: 17}
		.safeTech, .safeTech h4 {color:#fff;}
	</style>
	<style>
	.aligncenter {
		text-align: center;
	}
	</style>
	



<!-- Start Features -->
<div id=""featureListDiv"" class=""wrapDiv"">
	<h3 id=""featureList"">Features</h3>
</div>
<div id=""featureListDiv"" class=""row"">
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>Features a realistic and durable styrene body, which comes with the classic Grasshopper (2005) stickers already applied.</li>
<li>Simple, yet tough, 2WD chassis that can absorb plenty of rough terrain.</li>


		</ul>
	</div>
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>The sealed gearbox contains a differential for smooth driving and cornering, enhanced by paddle tread rear and grooved front tires on three-piece assembly type wheels.</li>
<li>Capable suspension uses independent swing axle front and rigid axle rear setups, cushioned by coil-sprung dampers.</li>
<li>Comes with the TEU-105BK ESC.</li>
		</ul>
	</div>
</div>
<!-- End Features -->

<!-- Start Overview -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Overview</h3>
	<p>The classic Grasshopper makes its way to the X-SA (Expert-Semi-Assembled) series, offering an all-around, fun 2WD R/C driving experience!</p>

<p>About the X-SA series:
Kits are a big part of what we do here at Tamiya, but we also understand that some people may not have the time or confidence for the assembly of an R/C model – that is why we have come up with the X-SA (Expert-Semi-Assembled) series of models. Each product features a fully-assembled and setup chassis with our TEU-105BK ESC (electronic speed control) included, plus a fully painted body with the marking stickers already applied. All you need to do is provide the R/C equipment and battery pack, install it, and you’re ready to drive.</p>
</div> 
<!-- Stop Overview -->



</div>  </div>","Tamiya","Kits","true","TAM46704","169.75","","4950344467044","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/TAM46704_A0_CT33A227.jpg?v=1745935467","lb","active"
"1-12-midnight-pumpkin-cw-01-2wd-monster-truck-rtr","1/12 Midnight Pumpkin CW-01 2WD Monster Truck RTR","<!-- SKU -->
<div class=""mx-auto mb-1"" style=""max-width:930px"">

<div class=""landing-content"">				
	<style>
		.mediaFeature {padding:2px 0;}
		.safeTech {background:#6f92a5;float:left;padding:20px 0;font-size: 17}
		.safeTech, .safeTech h4 {color:#fff;}
	</style>
	<style>
	.aligncenter {
		text-align: center;
	}
	</style>
	



<!-- Start Features -->
<div id=""featureListDiv"" class=""wrapDiv"">
	<h3 id=""featureList"">Features</h3>
</div>
<div id=""featureListDiv"" class=""row"">
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>Features a stylish, tough styrene body, which comes with stickers already applied.</li>
<li>The durable, easy-assembly 2WD chassis employs a box type frame with front swing arm independent and rear rolling rigid suspension setups.</li>
<li>Big 115mm diameter semi-pneumatic tires on yellow wheels offer a dynamic drive on even the toughest of surfaces.</li>



		</ul>
	</div>
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>The sealed rear gearbox protects the differential inside from dust and dirt.</li>
<li> A rear wheelie bar supports the model for wheels-in-the-air action when you slam on the throttle.</li>
<li>Comes with the TEU-105BK ESC.</li>
		</ul>
	</div>
</div>
<!-- End Features -->

<!-- Start Overview -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Overview</h3>
	<p>The classic Midnight Pumpkin makes its way to the X-SA (Expert-Semi-Assembled) series, offering an all-around, fun 2WD R/C driving experience!</p>

<p>About the X-SA series: 
Kits are a big part of what we do here at Tamiya, but we also understand that some people may not have the time or confidence for the assembly of an R/C model – that is why we have come up with the X-SA (Expert-Semi-Assembled) series of models. Each product features a fully-assembled and setup chassis with our TEU-105BK ESC (electronic speed control) included, plus a fully painted body with the marking stickers already applied. All you need to do is provide the R/C equipment and battery pack, install it, and you’re ready to drive.</p>
</div> 
<!-- Stop Overview -->



</div>  </div>","Tamiya","Kits","true","TAM46705","197.05","","4950344467051","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/TAM46705_A0_LBFU3JMJ.jpg?v=1745935472","lb","active"
"1-10-fighting-buggy-2wd-off-road-buggy-kit-limited-edition","1/10 Fighting Buggy 2WD Off-Road Buggy Kit, LIMITED EDITION","<div class=""mx-auto mb-1"" style=""max-width:930px"">

<div class=""landing-content"">
	<style>
		.mediaFeature {padding:2px 0;}
	</style>
	<style>
	.aligncenter {
		text-align: center;
	}
	</style>

<!-- Start Overview -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Overview</h3>
	<p>The Fighting Buggy was originally exported as the Super Champ in 1982 across the globe. For a limited time only, it is back as a special re-release celebrating 36-plus years after it originally made its debut in hobby stores.</p>
</div> 
<!-- Stop Overview -->

<!-- Start Features -->
<div id=""featureListDiv"" class=""wrapDiv"">
	<h3 id=""featureList"">Features</h3>
</div>
<div id=""featureListDiv"" class=""row"">
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>1/10 scale R/C model assembly kit</li>
			<li>The classic body of the original is reproduced in durable ABS resin with an aluminum roof panel with wing</li>
			<li>Stickers retain many of the themes of the classic model while also adding some new motifs</li>
			<li>Lightweight and durable 2.5mm thick FRP chassis plate</li>
		</ul>
	</div>
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>Original transverse damper rear suspension setup with progressive spring and separate oil reserve tank</li>
			<li>Employs durable die-cast sealed gear case with direct drive setup, which also houses the motor</li>
			<li>Ribbed front and rear spike tires</li>
			<li>540 motor included</li>
		</ul>
	</div>
</div>
<!-- End Features -->
	
<!-- Start YouTube Overview -->
<div id=""videoOverviewDiv"" class=""wrapDiv"">
	<h3 id=""videoOverview"">Tamiya Fighting Buggy Overview</h3>
</div>

<div data-ytid=""Yw6W0TdR8jE""><div class=""yt-video-container2"" data-ytid=""Yw6W0TdR8jE"" style=""padding-bottom: 56.25%;position: relative;width:100%"">
<iframe src=""https://www.youtube.com/embed/Yw6W0TdR8jE"" frameborder=""0"" allowfullscreen="""" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: 0;""></iframe>
</div></div>
<p> </p>
<!-- Stop YouTube Overview -->	
	
<!-- Start YouTube Overview -->
<div id=""videoOverviewDiv"" class=""wrapDiv"">
	<h3 id=""videoOverview"">Fighting Buggy in Action!</h3>
</div>

<div data-ytid=""L_wtqpM4lsc""><div class=""yt-video-container2"" data-ytid=""L_wtqpM4lsc"" style=""padding-bottom: 56.25%;position: relative;width:100%"">
<iframe src=""https://www.youtube.com/embed/L_wtqpM4lsc"" frameborder=""0"" allowfullscreen="""" style=""position: absolute; top: 0; left: 0; width: 100%; height: 100%; border: 0;""></iframe>
</div></div>
<p> </p>
<!-- Stop YouTube Overview -->	
	
<!-- Start Double Feature Row -->
	<div class=""row mediaFeature"">
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""ABS Resin Body"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_01.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Durable ABS Resin Molded Body</strong></h5>
			<p>The classic body of the original is reproduced in durable ABS resin with an aluminum roof panel with wing.</p>
			<p> </p>
		</div>
		
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""FRP Chassis Plate"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_05.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>2.5mm Fiber Reinforced Polymer Chassis Plate</strong></h5>
			<p>Lightweight and durable 2.5mm thick FRP chassis plate is capable of withstanding the hardest of landings despite its lower weight.</p>
			<p> </p>
		</div>
	</div>
	
	<div class=""row mediaFeature"">
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""Front Suspension"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_02.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Double Trailing Arm Front Suspension</strong></h5>
			<p>Front suspension utilizes a double trailing arm geometry, ensuring the smoothest of turns around every corner.  Both the front and rear suspension are manufactured from die-cast metal.</p>
			<p> </p>
		</div>
		
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""Gear case"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_09.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Die-cast Sealed Gear Case</strong></h5>
			<p>The sealed die-cast gear case helps protect the gearing from damage and houses the motor.</p>
			<p> </p>
		</div>
	</div>
	
	<div class=""row mediaFeature"">
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""Front Tires"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_08.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Ribbed Front Tires</strong></h5>
			<p>Ribbed front tires are designed to give you superior steering control on even the roughest track.</p>
			<p> </p>
		</div>
		
		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""Rear Tires"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_11.jpg"" class=""img-fluid"">
			
			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Spiked Rear Tires</strong></h5>
			<p>Spiked rear tires to give you the best traction for a faster take-off.</p>
			<p> </p>
		</div>
	</div>
<!-- End Double Feature Row -->

<!-- Start Centered Feature Row -->
	<div class=""row mediaFeature"">
		<div class=""columns col-lg-3 col-sm-4""></div>

		<div class=""columns col-lg-6 col-sm-12"">
			<img alt=""Rear Damper"" loading=""lazy"" src=""https://www.horizonhobby.com/on/demandware.static/-/Sites-horizon-master/default/PDPImages/TAM47304_PP_10.jpg"" class=""img-fluid"">

			<h5 class=""text-center p-1 ml-0 mr-0 w-100""><strong>Unique Rear Suspension</strong></h5>
			<p>The unique rear suspension includes a threaded aluminum shock with a progressive spring and a separate oil reserve tank.</p>
			<p> </p>
		</div>

		<div class=""columns col-lg-3 col-sm-4""></div>
	</div>
<!-- End Centered Feature Row -->	


</div>
</div>","Tamiya","Kits","true","TAM47304","242.45","","4950344080847","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/TAM47304_A5_5BTWTXUR.jpg?v=1745935478","lb","active"
"1-10-2017-top-force-limited-edition-4wd-buggy-kit","1/10 2017 Top-Force Limited Edition 4WD Buggy Kit","<div class=""mx-auto mb-1"" style=""max-width:930px"">
<!-- SKU -->

<div class=""landing-content"">				
	<style>
		.mediaFeature {padding:2px 0;}
		.safeTech {background:#6f92a5;float:left;padding:20px 0;font-size: 17}
		.safeTech, .safeTech h4 {color:#fff;}
	</style>
	<style>
	.aligncenter {
		text-align: center;
	}
	</style>

<!-- Start Introduction -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Re-Release Of a Commemorative R/C Model</h3>
	<p>The Top-Force R/C assembly kit, originally produced in 1991, commemorated Tamiya's 100th R/C product release. Lessons learned in actual race events, incorporated into this buggy kit, include features such as the low, wedge-shaped body, large rear wing with built-in flaps, and polycarbonate underbody cowling. The 2017 and 2024 edition kits include square spike tires that give the Top-Force excellent traction on any surface.</p>
</div>
<!-- Stop Introduction -->

<!-- Start Features -->
<div id=""featureListDiv"" class=""wrapDiv"">
	<h3 id=""featureList"">Features</h3>
</div>
<div id=""featureListDiv"" class=""row"">
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>Lightweight and durable polycarbonate body. Marking stickers included to decorate the body.</li>
			<li>FRP double-deck chassis.</li>
			<li>Shock damper stays made from FRP and used in conjunction with oil shock dampers and the 4-wheel independent double-wishbone suspension for superior handling.</li>
		</ul>
	</div>
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>White nylon star dish wheels paired with square spike tires (Items TAM53084/ TAM53088).</li>
			<li>Front and rear ball differentials, plus a rigid propeller shaft ensure that power from the rear-mounted transverse motor transmits smoothly to the wheels.</li>
			<li>Includes 540-type brushed motor.</li>
		</ul>
	</div>
</div>
<!-- End Features -->

<!-- Start Overview -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Race-Ready Off-Road Buggy</h3>
	<p>The simple and practical FRP double deck frame sees components mounted on the lower deck for a low center of gravity. Both front and rear gearboxes, equipped with precision-made ball differentials, give limited slip diff. effect, and provide formidable cornering ability. Hard propeller shaft, and universal shafts increase power transmission efficiency for faster laps around the park. The suspension system features adjustable upper arms that allow camber angle customization and metal bearings in the steering arms ensure sharp steering response.</p>
</div>
<!-- Stop Overview -->
<!----Start Video Tab---->

<div style=""max-width:930px"" class=""mx-auto mb-1 long-desc-content"">
    <section id=""videoOverview"">
        <div class=""embed-responsive embed-responsive-16by9 mb-2"">
            <iframe class=""embed-responsive-item"" src=""https://www.youtube.com/embed/rY5JlTnn7x0"" allowfullscreen>
            </iframe>
        </div>
    </section>
</div>

<!----Stop Video Tab---->
</div>
</div>","Tamiya","Kits","true","TAM47350","206.08","","4950344080281","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/TAM47350_A1_78KJTX41.jpg?v=1745935483","lb","active"
"1-10-r-c-manta-ray-2018","1/10 R/C Manta Ray (2018)","<div class=""mx-auto mb-1"" style=""max-width:930px"">

<div class=""landing-content"">
	<style>
		.mediaFeature {padding:2px 0;}
	</style>
	<style>
	.aligncenter {
		text-align: center;
	}
	</style>

<!-- Start Overview -->
<div id=""consumerWebCopyDiv"" class=""wrapDiv"">
	<h3 id=""consumerWebCopy"">Overview</h3>
	<p>The body is inspired by the sleek curved shape of Manta Rays and is made from lightweight and durable polycarbonate. Downforce is provided by the large rear wing and traction is provided with all-terrain spike tires mounted on dish wheels to provide excellent handling on off-road and grass surfaces.</p>
	<p>All the radio components such as battery and R/C mechanisms are mounted in the center of the honeycomb bathtub frame for optimum balance. The car’s bathtub chassis is mated with 4-wheel double wishbone suspension and equipped with CVA oil dampers for stable running in off-road conditions. 4WD drivetrain features front and rear sealed gearboxes with internal differential gear units for smooth cornering, and the gearbox itself features a quick-access hatch for convenient and hassle-free maintenance.</p>
</div> 
<!-- Stop Overview -->

<!-- Start Features -/->
<div id=""featureListDiv"" class=""wrapDiv"">
	<h3 id=""featureList"">Features</h3>
</div>
<div id=""featureListDiv"" class=""row"">
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>FEATURE_ITEM</li>
			<li>FEATURE_ITEM</li>
		</ul>
	</div>
	<div class=""columns col-lg-6 col-sm-12"">
		<ul> 
			<li>FEATURE_ITEM</li>
			<li>FEATURE_ITEM</li>
		</ul>
	</div>
</div>
<!-- End Features -->


</div>
</div>","Tamiya","Kits","true","TAM47367A","114.21","","4950344079629","https://cdn.shopify.com/s/files/1/0597/9426/0056/files/TAM47367A_A2_ZW0IJQI3.jpg?v=1745935489","lb","active"
